client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
6fd885b5ae246c0f125138cdd66534a8d6670745bcf2690c8bdd9e4af4a5ee370d325f7725b74bed2670d22b1774bbbee7bef6172d33b7cb431b2b1e13eaca3d	common_voice_ar_19058370.mp3	.كثيراً ما ألعب معه التنس	0	2	thirties			ar	
6fd885b5ae246c0f125138cdd66534a8d6670745bcf2690c8bdd9e4af4a5ee370d325f7725b74bed2670d22b1774bbbee7bef6172d33b7cb431b2b1e13eaca3d	common_voice_ar_19058373.mp3	قال المعلم ان الارض كروية.	1	2	thirties			ar	
6fd885b5ae246c0f125138cdd66534a8d6670745bcf2690c8bdd9e4af4a5ee370d325f7725b74bed2670d22b1774bbbee7bef6172d33b7cb431b2b1e13eaca3d	common_voice_ar_19058449.mp3	اِندلعت الحرب عام ١٩٣٩م.	0	2	thirties			ar	
52f0b11b4571a7c670fe631149eba1187dca404af883f4f56ee81e1c725270542bbecb7cf4ec0c1a5c8bcc8efa95c1bde06f08ec3077d23896f57b6e3246589e	common_voice_ar_19061879.mp3	خططت العصابة لسرقة.	0	2	thirties			ar	
52f0b11b4571a7c670fe631149eba1187dca404af883f4f56ee81e1c725270542bbecb7cf4ec0c1a5c8bcc8efa95c1bde06f08ec3077d23896f57b6e3246589e	common_voice_ar_19061933.mp3	نزرع القمح هنا.	1	2	thirties			ar	
52f0b11b4571a7c670fe631149eba1187dca404af883f4f56ee81e1c725270542bbecb7cf4ec0c1a5c8bcc8efa95c1bde06f08ec3077d23896f57b6e3246589e	common_voice_ar_19061939.mp3	أيمكنك أن تقفل الباب ؟	1	2	thirties			ar	
52f0b11b4571a7c670fe631149eba1187dca404af883f4f56ee81e1c725270542bbecb7cf4ec0c1a5c8bcc8efa95c1bde06f08ec3077d23896f57b6e3246589e	common_voice_ar_19061963.mp3	.كلٌّ منهم لديه سيارته الخاصة	0	2	thirties			ar	
52f0b11b4571a7c670fe631149eba1187dca404af883f4f56ee81e1c725270542bbecb7cf4ec0c1a5c8bcc8efa95c1bde06f08ec3077d23896f57b6e3246589e	common_voice_ar_19061974.mp3	كل الاشياء الجيدة تنتهي	1	2	thirties			ar	
52f0b11b4571a7c670fe631149eba1187dca404af883f4f56ee81e1c725270542bbecb7cf4ec0c1a5c8bcc8efa95c1bde06f08ec3077d23896f57b6e3246589e	common_voice_ar_19062051.mp3	الكافيتيري هو جهاز مناسب جدا لصنع القهوة	0	2	thirties			ar	
52f0b11b4571a7c670fe631149eba1187dca404af883f4f56ee81e1c725270542bbecb7cf4ec0c1a5c8bcc8efa95c1bde06f08ec3077d23896f57b6e3246589e	common_voice_ar_19062094.mp3	ذهب براين مع كيت إلى المدرسة.	0	2	thirties			ar	
52f0b11b4571a7c670fe631149eba1187dca404af883f4f56ee81e1c725270542bbecb7cf4ec0c1a5c8bcc8efa95c1bde06f08ec3077d23896f57b6e3246589e	common_voice_ar_19064725.mp3	سدّ عليّ الطريق.	0	2	thirties			ar	
e10d6ecf337732a96f777f10233a7979ddad0b5efcbd1861e681ed5dea7a6647f66f9360edac3484bea4e1b0cc4fad3b99788b87b05452cd63fe5f24af99d16e	common_voice_ar_19065150.mp3	متى أنشئت هذه الجامعة ؟	1	2				ar	
6fd885b5ae246c0f125138cdd66534a8d6670745bcf2690c8bdd9e4af4a5ee370d325f7725b74bed2670d22b1774bbbee7bef6172d33b7cb431b2b1e13eaca3d	common_voice_ar_19065531.mp3	أطفئ الضوء من فضلك.	0	2	thirties			ar	
f0f2bfff85723e2a010f116ef084bd8c520d7d24706807648664b491d785214b5cb33a740b8f3d4bbc7fc5f7bf136e7c39578c8fc67fe1e5be32adbb990528dd	common_voice_ar_19077325.mp3	أراك غداً.	1	2	twenties			ar	
f0f2bfff85723e2a010f116ef084bd8c520d7d24706807648664b491d785214b5cb33a740b8f3d4bbc7fc5f7bf136e7c39578c8fc67fe1e5be32adbb990528dd	common_voice_ar_19077335.mp3	قابلت سالي هاري في المحطة.	1	2	twenties			ar	
6fd885b5ae246c0f125138cdd66534a8d6670745bcf2690c8bdd9e4af4a5ee370d325f7725b74bed2670d22b1774bbbee7bef6172d33b7cb431b2b1e13eaca3d	common_voice_ar_19083228.mp3	.كنت أمتلك سيارة نيسان قبل أن أمتلك هذه	1	2	thirties			ar	
9d65b039d3fb7ee7f3d170b7b98caea8e545d0f1de637d306bb529a3b6a1ab9027f11b3d07a1a3cc7903fc0df877324044eaf5f0e2bbb30e0d20de32e2817daf	common_voice_ar_19090096.mp3	اتهمته الشرطة بالقتل.	1	2	fourties			ar	
9d65b039d3fb7ee7f3d170b7b98caea8e545d0f1de637d306bb529a3b6a1ab9027f11b3d07a1a3cc7903fc0df877324044eaf5f0e2bbb30e0d20de32e2817daf	common_voice_ar_19090162.mp3	وضح لي ما تريدني أن أفعل.	0	2	fourties			ar	
e6cf06ff9f74190e7929097483757464b956e6b50b0a6c8a2df1b864615262b2b42d3fe7254704a162baf21965998da1d892d81c02cfb76d0f7f4d676d826f7e	common_voice_ar_19103185.mp3	.إسمع جيداً	1	2				ar	
6fd885b5ae246c0f125138cdd66534a8d6670745bcf2690c8bdd9e4af4a5ee370d325f7725b74bed2670d22b1774bbbee7bef6172d33b7cb431b2b1e13eaca3d	common_voice_ar_19103782.mp3	هل يمكنك التمييز بين التوأمين ؟	0	2	thirties			ar	
510f749dd53e107df7ad1182fad0cdd082e0b2ed7c9e038ce5c60a9db17220e6467fdb5070bd2a3672b75fdf94de578829030f8ecdbdfa295181f68cf350f262	common_voice_ar_19128447.mp3	.أكره مادة الكيمياء	0	2	thirties			ar	
46b8c7ffde297d067c5c028a024245a857ba893769598efedca5ba60cd1179a217efc6ca4c7b3ee295b06f75bf0fad7a298300bf8301447c2c02dc0d697c51c6	common_voice_ar_19138727.mp3	اِندلعت الحرب عام ١٩٣٩ للميلاد.	0	2	twenties	female		ar	
46b8c7ffde297d067c5c028a024245a857ba893769598efedca5ba60cd1179a217efc6ca4c7b3ee295b06f75bf0fad7a298300bf8301447c2c02dc0d697c51c6	common_voice_ar_19138819.mp3	اتصلت بي بعد الظهر.	3	6	twenties	female		ar	
d4d216af26de6ce8719bbe363ebc0e9f5f6d89899a2445dd516a2d846c2b0ecc85b865b791a360b4f595ebd6db00c4ffaf58b3c2d6e72bed1250722f94924842	common_voice_ar_19148675.mp3	لنحاول!	0	6	twenties	female		ar	
d4d216af26de6ce8719bbe363ebc0e9f5f6d89899a2445dd516a2d846c2b0ecc85b865b791a360b4f595ebd6db00c4ffaf58b3c2d6e72bed1250722f94924842	common_voice_ar_19148678.mp3	فكر أنني تعبان جدا.	3	6	twenties	female		ar	
d4d216af26de6ce8719bbe363ebc0e9f5f6d89899a2445dd516a2d846c2b0ecc85b865b791a360b4f595ebd6db00c4ffaf58b3c2d6e72bed1250722f94924842	common_voice_ar_19148680.mp3	تركتُ كتابك في السيارة.	0	6	twenties	female		ar	
